raw_brand_value,script,product_count,normalized_value,method,cluster_id,proposed_canonical_slug,proposed_canonical_display,cluster_min_confidence,needs_review,reviewer_decision,notes
Please select a brand.,latin,15010,please select a brand,junk_excluded,,,,,True,approve,
Spinneys,latin,697,spinneys,singleton,,spinneys,Spinneys,100.0,False,,
سبينيس,arabic,697,سبينيس,singleton,,brand_25f0e46cf2,سبينيس,100.0,False,,
Abu Auf,latin,289,abu auf,singleton,,abu_auf,Abu Auf,100.0,False,,
ابو عوف,arabic,289,ابو عوف,singleton,,brand_d5ffb5b584,ابو عوف,100.0,False,,
Elhelal,latin,273,elhelal,singleton,,elhelal,Elhelal,100.0,False,,
الهلال,arabic,273,الهلال,singleton,,brand_6d5d4f27aa,الهلال,100.0,False,,
Nouval,latin,236,nouval,singleton,,nouval,Nouval,100.0,False,,
نوڤال,arabic,236,نوڤال,singleton,,brand_52a9d51a3a,نوڤال,100.0,False,,
Dobella,latin,208,dobella,singleton,,dobella,Dobella,100.0,False,,
Mintra,latin,194,mintra,fuzzy_cluster,c5,mintra,Mintra,90.9,True,approve,
مينترا,arabic,194,مينترا,fuzzy_cluster,c31,brand_a2b50410d7,مينترا,90.9,True,approve,
Tornado,latin,192,tornado,singleton,,tornado,Tornado,100.0,False,,
تورندو,arabic,192,تورندو,singleton,,brand_db8db535c8,تورندو,100.0,False,,
Top Chef,latin,188,top chef,singleton,,top_chef,Top Chef,100.0,False,,
Pasabahce,latin,168,pasabahce,singleton,,pasabahce,Pasabahce,100.0,False,,
باسباتشي,arabic,168,باسباتشي,singleton,,brand_dd7ab0ae98,باسباتشي,100.0,False,,
Migo'S,latin,164,migo's,fuzzy_cluster,c6,migo_s,Migo'S,90.9,True,approve,
Dettol,latin,157,dettol,singleton,,dettol,Dettol,100.0,False,,
ديتول,arabic,157,ديتول,singleton,,brand_08f5a2267c,ديتول,100.0,False,,
Dove,latin,156,dove,singleton,,dove,Dove,100.0,False,,
Elite,latin,156,elite,singleton,,elite,Elite,100.0,False,,
دوف,arabic,156,دوف,singleton,,brand_b22f0a6b1b,دوف,100.0,False,,
Choice,latin,154,choice,singleton,,choice,Choice,100.0,False,,
Eva,latin,154,eva,singleton,,eva,Eva,100.0,False,,
ايفا,arabic,154,ايفا,singleton,,brand_5d41ba0aae,ايفا,100.0,False,,
Domtty,latin,146,domtty,fuzzy_cluster,c1,domtty,Domtty,90.9,True,approve,
M.Design,latin,138,m.design,singleton,,m_design,M.Design,100.0,False,,
Fresh,latin,135,fresh,singleton,,fresh,Fresh,100.0,False,,
فريش,arabic,135,فريش,singleton,,brand_dc9f52ac78,فريش,100.0,False,,
Almarai,latin,133,almarai,singleton,,almarai,Almarai,100.0,False,,
المراعى,arabic,133,المراعي,singleton,,brand_04410c55ba,المراعى,100.0,False,,
Fresh Roots,latin,130,fresh roots,singleton,,fresh_roots,Fresh Roots,100.0,False,,
Nestle,latin,130,nestle,singleton,,nestle,Nestle,100.0,False,,
نيستل,arabic,130,نيستل,singleton,,brand_e3c4465444,نيستل,100.0,False,,
M-Design,latin,127,m-design,singleton,,m_design,M-Design,100.0,False,,
م-دزين,arabic,127,م-دزين,singleton,,brand_21dd4ec498,م-دزين,100.0,False,,
Dreem,latin,122,dreem,singleton,,dreem,Dreem,100.0,False,,
Juhayna,latin,122,juhayna,singleton,,juhayna,Juhayna,100.0,False,,
Royal,latin,122,royal,singleton,,royal,Royal,100.0,False,,
جهينه,arabic,122,جهينه,singleton,,brand_ef2ef07c4e,جهينه,100.0,False,,
Nivea,latin,108,nivea,singleton,,nivea,Nivea,100.0,False,,
Shaykhon,latin,108,shaykhon,singleton,,shaykhon,Shaykhon,100.0,False,,
نيفيا,arabic,108,نيفيا,singleton,,brand_213a6102bb,نيفيا,100.0,False,,
الضحى,arabic,106,الضحي,singleton,,brand_7a4da2be67,الضحى,100.0,False,,
Rexona,latin,105,rexona,singleton,,rexona,Rexona,100.0,False,,
ريكسونا,arabic,105,ريكسونا,singleton,,brand_1a1b261a84,ريكسونا,100.0,False,,
Tiara,latin,104,tiara,singleton,,tiara,Tiara,100.0,False,,
Magical,latin,100,magical,singleton,,magical,Magical,100.0,False,,
Vatika,latin,93,vatika,singleton,,vatika,Vatika,100.0,False,,
ڤاتيكا,arabic,93,ڤاتيكا,singleton,,brand_724b2e17fe,ڤاتيكا,100.0,False,,
LG,latin,92,lg,singleton,,lg,LG,100.0,False,,
ال جى,arabic,92,ال جي,singleton,,brand_561a9a4554,ال جى,100.0,False,,
Nour,latin,88,nour,singleton,,nour,Nour,100.0,False,,
Fa,latin,87,fa,singleton,,fa,Fa,100.0,False,,
فا,arabic,87,فا,singleton,,brand_14aa780b4e,فا,100.0,False,,
Braun,latin,85,braun,singleton,,braun,Braun,100.0,False,,
Gillette,latin,85,gillette,singleton,,gillette,Gillette,100.0,False,,
براون,arabic,85,براون,singleton,,brand_128c8c1488,براون,100.0,False,,
جيليت,arabic,85,جيليت,singleton,,brand_6f14ec2835,جيليت,100.0,False,,
Ahmed Tea,latin,83,ahmed tea,singleton,,ahmed_tea,Ahmed Tea,100.0,False,,
Toshiba,latin,83,toshiba,singleton,,toshiba,Toshiba,100.0,False,,
احمد تى,arabic,83,احمد تي,singleton,,brand_4c41891821,احمد تى,100.0,False,,
توشيبا,arabic,83,توشيبا,singleton,,brand_0867cc3f2a,توشيبا,100.0,False,,
Duru,latin,82,duru,singleton,,duru,Duru,100.0,False,,
Image,latin,80,image,singleton,,image,Image,100.0,False,,
Nilco,latin,80,nilco,singleton,,nilco,Nilco,100.0,False,,
ايمج,arabic,80,ايمج,singleton,,brand_d087a46c6d,ايمج,100.0,False,,
Hero,latin,79,hero,singleton,,hero,Hero,100.0,False,,
Kamena,latin,79,kamena,singleton,,kamena,Kamena,100.0,False,,
