raw_category_id,raw_name_en,raw_name_ar,parent_category_id,linked_product_count,normalized_name_en,method,group_id,proposed_canonical_slug,proposed_canonical_display_en,proposed_canonical_display_ar,confidence,needs_review,reviewer_decision,notes
1,Sweets & Snacks,سناكس وحلويات,,1701,sweets & snacks,singleton_unique,,sweets_snacks,Sweets & Snacks,سناكس وحلويات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
2,Chocolate,الشوكولاتة,,338,chocolate,singleton_unique,,chocolate,Chocolate,الشوكولاتة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
3,Biscuits,البسكويت,,481,biscuits,singleton_unique,,biscuits,Biscuits,البسكويت,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
4,Corona,كورونا,,22,corona,singleton_unique,,corona,Corona,كورونا,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
5,Cleaning Products ,المنظفات,,1166,cleaning products,singleton_unique,,cleaning_products,Cleaning Products ,المنظفات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
6,Cleaning,منتجات التنظيف,,53,cleaning,singleton_unique,,cleaning,Cleaning,منتجات التنظيف,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
7,Spinneys Products,منتجات سبينيس,,162,spinneys products,singleton_unique,,spinneys_products,Spinneys Products,منتجات سبينيس,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
8,Cleaning Supplies,أدوات التنظييف,,595,cleaning supplies,singleton_unique,,cleaning_supplies,Cleaning Supplies,أدوات التنظييف,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
9,Households,المنزل والحديقة,,2954,households,singleton_unique,,households,Households,المنزل والحديقة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
10,Kitchenware,أدوات المطبخ,,1309,kitchenware,singleton_unique,,kitchenware,Kitchenware,أدوات المطبخ,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
11,Cleaning Tools,أدوات النظافة,,129,cleaning tools,singleton_unique,,cleaning_tools,Cleaning Tools,أدوات النظافة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
12,"Brushes , Mops & Buckets","الفرش , الممسحة و الباسكت",,72,"brushes , mops & buckets",singleton_unique,,brushes_mops_buckets,"Brushes , Mops & Buckets","الفرش , الممسحة و الباسكت",100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
13,Home Accessories,اكسسوارات المنزل,,213,home accessories,fuzzy_candidate,g18,home_accessories,Home Accessories,اكسسوارات المنزل,93.8,True,reject,no parent-category signal available (parent_category_id NULL for all rows)
14,Snacks & Chips,شيبس و كراكرز و فشار,,644,snacks & chips,singleton_unique,,snacks_chips,Snacks & Chips,شيبس و كراكرز و فشار,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
15,Laundry,منتجات غسيل الملابس,,165,laundry,singleton_unique,,laundry,Laundry,منتجات غسيل الملابس,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
16,Fabric Softener,منعم الأقمشة,,42,fabric softener,singleton_unique,,fabric_softener,Fabric Softener,منعم الأقمشة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
17,Fabric Care,منتجات العناية بالأنسجة,,24,fabric care,singleton_unique,,fabric_care,Fabric Care,منتجات العناية بالأنسجة,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
18,Grocery,عروض عامة,,1733,grocery,exact_auto_merge,g1,grocery,Grocery,منتجات البقالة,100.0,False,,
19,Detergents,المنظفات,,108,detergents,singleton_unique,,detergents,Detergents,المنظفات,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
20,Top Selling Products,المنتجات الأكثر مبيعاً,,796,top selling products,singleton_unique,,top_selling_products,Top Selling Products,المنتجات الأكثر مبيعاً,100.0,False,,no parent-category signal available (parent_category_id NULL for all rows)
